seed,cv_folds,accuracy_mean,accuracy_std
0,5,0.9902856685604544,0.0005126227855660402
1,5,0.9909418260382491,0.0007288339625020582
2,5,0.9906537569016564,0.0013005521103567376
3,5,0.9907177722653436,0.0014492094323657403
4,5,0.9903016724013763,0.0005801254368373914
5,5,0.9901736416740017,0.0003484282797003647
6,5,0.9903176762422982,0.0009400128130327719
7,5,0.9903496839241418,0.0008447238998413476
8,5,0.9903816916059857,0.0013668067198717155
9,5,0.9903816916059854,0.000895929263168961
10,5,0.9904937184924382,0.0008398586389311032
11,5,0.9910218452428584,0.0004704149301976218
12,5,0.9904457069696727,0.0012131291451226794
13,5,0.9903176762422982,0.000583646716133823
14,5,0.9903496839241418,0.001021742158886924
15,5,0.9905417300152036,0.0011478224263129504
16,5,0.9902536608786109,0.0007461978540049396
17,5,0.9904136992878291,0.0009792467658335962
18,5,0.9903976954469073,0.0013380206427832744
19,5,0.9906857645835,0.0009004916313761955
