seed,cv_folds,accuracy_mean,accuracy_std
0,5,0.9968472433384011,0.000345475444425457
1,5,0.9967352164519486,0.000453787209050403
2,5,0.9968152356565575,0.0006683400181746469
3,5,0.996767224133792,0.0003564224606116656
4,5,0.9969752740657757,0.00043945043507228346
5,5,0.9967512202928704,0.0006312901631852904
6,5,0.9967192126110266,0.00042038650993240546
7,5,0.9967992318156357,0.0004498189748757519
8,5,0.9967832279747139,0.00031766717198174785
9,5,0.9966071857245739,0.00059795284283489
10,5,0.996687204929183,0.0002844904990738826
11,5,0.9966712010882611,0.0005249650145428767
12,5,0.9965751780427302,0.0003834247755688652
13,5,0.9967352164519486,0.0002285805690499586
14,5,0.9967192126110266,0.00016003840921823275
15,5,0.9965271665199648,0.0005025307983710554
16,5,0.9966391934064177,0.00047204548943753085
17,5,0.9968152356565575,0.0007461978540049448
18,5,0.996943266383932,0.0005910597843520694
19,5,0.996767224133792,0.0002753404902630323
