seed;iter;clf__n_estimators;clf__max_depth;clf__min_samples_split;clf__min_samples_leaf;mean_accuracy;std_accuracy
1000;1;320;86;5;13;0.9979532832503505;6.413541460142884e-05
1000;2;270;10;16;6;0.9979474187324431;5.413175582125311e-05
1000;3;390;56;6;8;0.9979509374431874;6.409250030114038e-05
1000;4;470;32;13;16;0.997952110346769;5.642141708243242e-05
1000;5;170;88;13;8;0.997952110346769;6.628721429976661e-05
1000;6;340;24;3;16;0.9979474187324431;6.348865439915262e-05
1000;7;140;60;15;7;0.9979568019610948;6.661844541557822e-05
1000;8;60;98;19;15;0.9979708768040723;6.68657919796448e-05
1000;9;500;100;8;18;0.997949764539606;6.101353790479152e-05
1000;10;160;90;5;9;0.9979509374431874;6.57872407437627e-05
2000;1;330;8;17;9;0.9979157503357436;0.00011720822613912647
2000;2;500;24;20;5;0.9979192690464881;0.0001184226095787954
2000;3;300;26;6;18;0.9979110587214178;0.00011625362110159565
2000;4;470;80;12;12;0.9979157503357436;0.00011429642994028204
2000;5;380;56;2;7;0.9979122316249992;0.0001142603154215205
2000;6;50;78;20;15;0.9979157503357436;9.963469017917046e-05
2000;7;170;10;3;8;0.9979157503357436;0.00011802697432486386
2000;8;350;90;5;19;0.9979122316249993;0.00011628911658492323
2000;9;190;68;5;10;0.997914577432162;0.0001173841529296974
2000;10;340;54;3;11;0.9979157503357436;0.00011632460123709882
3000;1;450;18;11;3;0.9979650122861651;8.126114381878679e-05
3000;2;220;92;11;5;0.9979568019610948;8.114255144731718e-05
3000;3;430;88;16;10;0.9979579748646762;8.222045740106308e-05
3000;4;190;24;19;7;0.9979556290575132;7.94290443924655e-05
3000;5;500;28;18;11;0.9979544561539319;8.027323320147097e-05
3000;6;430;80;15;14;0.9979509374431874;8.397530953356043e-05
3000;7;230;98;19;12;0.9979579748646762;8.222045740106308e-05
3000;8;290;30;14;13;0.9979568019610948;8.306940051549134e-05
3000;9;190;90;12;11;0.997960320671839;8.534032272948596e-05
3000;10;130;18;4;18;0.9979614935754206;7.78546503880653e-05
4000;1;310;54;16;8;0.997960320671839;7.79252989056761e-05
4000;2;370;94;16;11;0.9979614935754206;7.986086797468495e-05
4000;3;290;86;5;12;0.997960320671839;7.79252989056761e-05
4000;4;270;44;3;11;0.997952110346769;7.941172260741607e-05
4000;5;100;16;14;20;0.9979603206718393;7.431063911028118e-05
4000;6;470;66;13;6;0.997965012286165;7.73583042058783e-05
4000;7;90;28;14;11;0.997949764539606;7.873320054581575e-05
4000;8;330;100;12;18;0.9979638393825836;7.7748557242632e-05
