seed;iter;clf__n_estimators;clf__max_depth;clf__min_samples_split;clf__min_samples_leaf;mean_accuracy;std_accuracy
1000;1;320;86;5;13;0.9528686327077749;0.0027097648833229325
1000;2;270;10;16;6;0.9560321715817695;0.003361378663519037
1000;3;390;56;6;8;0.9512064343163538;0.0032659393743358664
1000;4;470;32;13;16;0.9512064343163539;0.0027861407092260693
1000;5;170;88;13;8;0.9536193029490617;0.00257149143341165
1000;6;340;24;3;16;0.9514745308310992;0.003084857879601614
1000;7;140;60;15;7;0.9532975871313674;0.0031145384946825827
1000;8;60;98;19;15;0.9520107238605899;0.0034790623479910706
1000;9;500;100;8;18;0.9531903485254691;0.0027055176003309323
1000;10;160;90;5;9;0.9542627345844504;0.003192938322993978
2000;1;330;8;17;9;0.9565683646112599;0.002164785977285424
2000;2;500;24;20;5;0.947024128686327;0.0033079242499060805
2000;3;300;26;6;18;0.9527613941018768;0.00315124616727404
2000;4;470;80;12;12;0.9533512064343164;0.002780976403193557
2000;5;380;56;2;7;0.9506166219839143;0.0023211646994008802
2000;6;50;78;20;15;0.9505630026809652;0.003935086998800792
2000;7;170;10;3;8;0.9544772117962467;0.0031237558527891676
2000;8;350;90;5;19;0.9544772117962467;0.003276486030552719
2000;9;190;68;5;10;0.9541554959785523;0.0033269902536168772
2000;10;340;54;3;11;0.9528686327077747;0.00264533970692634
3000;1;450;18;11;3;0.9479892761394103;0.0029023846869113724
3000;2;220;92;11;5;0.9511528150134048;0.0025000628904825115
3000;3;430;88;16;10;0.9525469168900805;0.002076666673569653
3000;4;190;24;19;7;0.9492225201072386;0.0035348095922465394
3000;5;500;28;18;11;0.9489008042895442;0.004014650197819785
3000;6;430;80;15;14;0.9523324396782842;0.0019583895300535775
3000;7;230;98;19;12;0.9535120643431636;0.0023285845308963363
3000;8;290;30;14;13;0.951367292225201;0.0040680057347754674
3000;9;190;90;12;11;0.9538873994638071;0.003047350614130384
3000;10;130;18;4;18;0.9532439678284182;0.002585985104941015
4000;1;310;54;16;8;0.9508310991957105;0.0025069532927744728
4000;2;370;94;16;11;0.9531903485254691;0.001869768983824428
4000;3;290;86;5;12;0.9535120643431634;0.0012529031040802094
4000;4;270;44;3;11;0.9522252010723861;0.002666987692320826
4000;5;100;16;14;20;0.9549061662198393;0.0021806648158351712
4000;6;470;66;13;6;0.9538873994638069;0.002697002968355894
4000;7;90;28;14;11;0.9523860589812333;0.0022723453190795725
4000;8;330;100;12;18;0.9540482573726541;0.0017992452263337986
4000;9;480;14;12;3;0.9496514745308311;0.002661592202893489
4000;10;280;36;19;18;0.9529758713136729;0.0027995233205804987
