seed;iter;clf__n_estimators;clf__max_depth;clf__min_samples_split;clf__min_samples_leaf;mean_accuracy;std_accuracy
1000;1;320;44;5;13;0.9965271665199648;0.0004790471168151128
1000;2;270;6;16;6;0.996687204929183;0.0003599974995343404
1000;3;390;28;6;8;0.9966391934064175;0.00033186270870332534
1000;4;470;16;13;16;0.9967032087701048;0.0004943088808988017
1000;5;170;44;13;8;0.996591181883652;0.00032246845930398787
1000;6;340;12;3;16;0.9966712010882611;0.0003454754444254199
1000;7;140;30;15;7;0.9965111626790429;0.0004709590772045291
1000;8;60;36;16;7;0.9959670320877011;0.00027534049026303617
1000;9;390;12;5;9;0.9966231895654957;0.00043652658068293366
1000;10;150;20;4;1;0.9949107785868607;0.0003635373831031761
2000;1;330;4;17;9;0.9956309514283428;0.0005871468777416762
2000;2;500;12;20;5;0.9967512202928702;0.0003874119688536446
2000;3;300;14;6;18;0.9967512202928704;0.00046272968855889913
2000;4;470;40;12;12;0.9965751780427304;0.00036283216928076334
2000;5;380;28;2;7;0.996591181883652;0.00028895687101333485
2000;6;50;40;20;15;0.9959030167240137;0.0005020208735331196
2000;7;170;6;3;8;0.9961110666559975;0.0005739112131564655
2000;8;350;46;5;19;0.9964791549971993;0.0003684360865238318
2000;9;190;34;5;10;0.9966391934064177;0.0003506265871842286
2000;10;340;28;3;11;0.996591181883652;0.0004371129161797923
3000;1;450;10;11;3;0.996687204929183;0.00036704312846857275
3000;2;220;46;11;5;0.9965271665199648;0.00018663525309580646
3000;3;430;44;16;10;0.9965751780427302;0.0002285805690499524
3000;4;190;12;19;7;0.9966391934064175;0.00029072420780323113
3000;5;500;14;18;11;0.9966712010882611;0.00034916258668914066
3000;6;430;40;15;14;0.9965751780427302;0.0004566005478974952
3000;7;230;48;19;12;0.9964791549971993;0.00023737532166425495
3000;8;290;16;14;13;0.9965751780427302;0.00034473328364471677
3000;9;190;46;12;11;0.996591181883652;0.00019337514561246972
3000;10;130;10;4;18;0.9965431703608866;0.0001852578523292055
4000;1;310;28;16;8;0.9966551972473393;0.00027440870928195036
4000;2;370;48;16;11;0.9968152356565575;0.00015516299455602933
4000;3;290;44;5;12;0.996687204929183;0.0002706495082866036
4000;4;270;22;3;11;0.9966712010882611;0.00019988790904693622
4000;5;100;8;14;20;0.9963031127470593;0.00019204609106182602
4000;6;470;34;13;6;0.9968952548611668;0.00025505925342896854
4000;7;90;14;14;11;0.9964311434744338;0.00032246845930400885
4000;8;330;22;19;4;0.996863247179323;0.0002835887836547918
4000;9;260;6;13;9;0.9966391934064175;0.0001824718612625864
4000;10;400;36;13;5;0.9968472433384011;0.000387411968853674
5000;1;190;24;14;15;0.9967512202928702;0.0005370236612166927
5000;2;120;34;14;2;0.9963031127470593;0.0005436596863715592
5000;3;370;22;14;17;0.9967192126110266;0.0004984367929070264
5000;4;210;38;4;3;0.9965591742018084;0.00050608588623965
5000;5;360;44;14;19;0.9967672241337923;0.0004790471168150809
5000;6;60;40;8;10;0.9963031127470592;0.0003766856780328116
5000;7;270;28;8;17;0.9968152356565575;0.0005146174342902654
5000;8;500;46;4;2;0.9963191165879813;0.00048805155419627495
5000;9;200;18;8;8;0.996703208770105;0.0003447332836446807
5000;10;140;2;15;1;0.9885092422181323;0.0007947321128549245
6000;1;160;18;7;6;0.9964791549971993;0.000547415583787691
6000;2;250;48;6;2;0.9960310474513884;0.00021231494216888277
6000;3;290;24;19;9;0.996767224133792;0.00031032598911202316
6000;4;310;28;14;11;0.9968312394974793;0.0003599974995343671
6000;5;280;2;18;11;0.9904937184924382;0.0008008319438711242
6000;6;70;18;16;19;0.9962551012242938;0.00044235496394607704
6000;7;380;40;15;9;0.9967512202928702;0.00046823201851094827
6000;8;430;8;12;8;0.9967032087701048;0.0004154838756740618
6000;9;450;6;8;19;0.996767224133792;0.00024059048377007364
6000;10;380;18;2;11;0.9968312394974793;0.00046823201851093
7000;1;250;4;12;19;0.9954229014963591;0.00036634466327148385
7000;2;190;28;18;2;0.9965431703608866;0.0005530016017658975
7000;3;400;10;20;9;0.9968472433384011;0.0004790471168151142
7000;4;340;4;4;3;0.9958710090421701;0.0003264155886111951
7000;5;180;26;5;8;0.9967032087701048;0.0006946478167307396
7000;6;340;38;4;10;0.9969272625430105;0.0004999759734916528
7000;7;470;14;17;17;0.9967352164519484;0.0005220294928478951
7000;8;70;14;2;6;0.9963511242698248;0.0006251748414699402
7000;9;130;2;6;4;0.9880291269904777;0.0006931714116254595
7000;10;420;36;9;6;0.9968152356565575;0.0007764749601157241
8000;1;410;24;3;20;0.9964791549971993;0.0004932715053987793
8000;2;250;6;13;18;0.9962871089061375;0.000612761133682553
8000;3;320;8;9;6;0.9964791549971993;0.0006218887485868932
8000;4;80;8;4;7;0.9959510282467793;0.0010440589856957603
8000;5;380;40;12;15;0.9964311434744338;0.0006725422546035212
8000;6;450;38;3;1;0.9947827478594864;0.00022290771028538097
8000;7;200;22;13;18;0.9964951588381211;0.0005070970478596484
8000;8;360;34;6;16;0.9964791549971993;0.0007316398784131894
8000;9;50;16;15;18;0.9954869168600464;0.0009821196122311725
8000;10;50;42;17;1;0.99499079779147;0.00018663525309581407
9000;1;270;22;3;18;0.9968632471793232;0.00030533382457130764
9000;2;140;28;16;6;0.996591181883652;0.00022969832910951695
9000;3;340;24;17;14;0.996943266383932;0.00034473328364469823
9000;4;90;6;7;18;0.995438905337281;0.0002205977234870876
9000;5;90;14;8;11;0.9966391934064175;0.00020866455646004642
9000;6;400;28;16;12;0.9968792510202448;0.000290724207803225
9000;7;500;24;3;11;0.996943266383932;0.00023952355840754972
9000;8;280;10;16;19;0.9967992318156359;0.0003318627087033307
9000;9;400;46;7;18;0.9967032087701048;0.0002744087092819568
9000;10;390;4;4;15;0.9960310474513884;0.0005298214085699515
10000;1;410;20;3;4;0.9968312394974793;0.0005671775673095679
10000;2;500;2;2;9;0.9928942946307113;0.0005506809805260537
10000;3;370;22;7;4;0.9967832279747139;0.0005932224691638403
10000;4;480;38;14;1;0.9954869168600464;0.0008091045633201345
10000;5;240;2;20;8;0.990413699287829;0.0005146174342902819
10000;6;60;22;20;19;0.9961270704969193;0.0006353343439634856
10000;7;220;34;18;6;0.9968472433384011;0.0004843641178017416
10000;8;500;8;4;11;0.996591181883652;0.0005322329886633919
10000;9;60;28;6;2;0.9951988477234537;0.00033569939927027587
10000;10;280;30;15;9;0.9967352164519484;0.0004917113385848295
