seed;iter;clf__n_estimators;clf__max_depth;clf__min_samples_split;clf__min_samples_leaf;mean_accuracy;std_accuracy
1000;1;320;86;5;13;0.9979661851897464;6.752095317004917e-05
1000;2;270;10;16;6;0.9979650122861651;4.542636037705821e-05
1000;3;390;56;6;8;0.9979485916360247;5.077466955651675e-05
1000;4;470;32;13;16;0.997960320671839;6.298830770938227e-05
1000;5;170;88;13;8;0.9979380355037915;4.844531965272824e-05
1000;6;340;24;3;16;0.9979544561539319;5.493898404795994e-05
1000;7;140;60;15;7;0.9979532832503505;4.309522938094752e-05
1000;8;60;98;19;15;0.9979568019610948;4.900996948286066e-05
1000;9;500;100;8;18;0.9979439000216989;5.1340496556318687e-05
1000;10;160;90;5;9;0.9979626664790022;6.213068556518741e-05
2000;1;330;8;17;9;0.9979943348757014;0.00012594385024879617
2000;2;500;24;20;5;0.9978911193605329;0.00010100600006619327
2000;3;300;26;6;18;0.9978852548426257;9.921960148281784e-05
2000;4;470;80;12;12;0.9979122316249992;0.00011021549720754002
2000;5;380;56;2;7;0.9979040212999291;0.00010969000313858355
2000;6;50;78;20;15;0.9979204419500695;9.1351044077091e-05
2000;7;170;10;3;8;0.997934516793047;0.00010828892263020508
2000;8;350;90;5;19;0.9978981567820217;0.00010494701857653913
2000;9;190;68;5;10;0.9978993296856032;0.00011625362110159543
2000;10;340;54;3;11;0.9979028483963475;0.00011483678483014531
3000;1;450;18;11;3;0.997921614853651;7.615748848852071e-05
3000;2;220;92;11;5;0.9979356896966285;7.565000790112302e-05
3000;3;430;88;16;10;0.9979192690464881;6.48181794408562e-05
3000;4;190;24;19;7;0.9979403813109544;6.460559054604457e-05
3000;5;500;28;18;11;0.9979180961429066;6.879256988390172e-05
3000;6;430;80;15;14;0.9979356896966285;8.126114381878359e-05
3000;7;230;98;19;12;0.9979274793715582;8.11425514473313e-05
3000;8;290;30;14;13;0.9979392084073728;7.986086797467744e-05
3000;9;190;90;12;11;0.9979251335643953;7.559543292141952e-05
3000;10;130;18;4;18;0.997952110346769;9.364149571579446e-05
4000;1;310;54;16;8;0.9979204419500695;7.758914552116919e-05
4000;2;370;94;16;11;0.9979427271181173;0.00011166633459805282
4000;3;290;86;5;12;0.9979356896966285;8.318524593558208e-05
4000;4;270;44;3;11;0.9979298251787212;9.607791559208022e-05
4000;5;100;16;14;20;0.9979462458288616;8.104076271630012e-05
4000;6;470;66;13;6;0.997932170985884;0.00010533954089887593
4000;7;90;28;14;11;0.9979368626002099;7.958477080262712e-05
4000;8;330;100;12;18;0.9979251335643953;9.095865383668571e-05
4000;9;480;14;12;3;0.9979239606608139;7.436615696569002e-05
4000;10;280;36;19;18;0.9979333438894656;8.937186650737804e-05
5000;1;190;48;14;15;0.9979380355037915;8.430231742789807e-05
5000;2;120;66;14;2;0.9979075400106735;8.33834636413967e-05
5000;3;370;44;14;17;0.9979356896966284;7.673335671538816e-05
5000;4;210;76;4;3;0.9978993296856032;9.913637518425429e-05
5000;5;360;98;14;19;0.9979380355037915;6.944936325687787e-05
5000;6;60;80;8;10;0.9979556290575132;0.00010663751422019948
5000;7;270;98;15;7;0.9979333438894656;7.4236550717869e-05
5000;8;370;98;4;2;0.9978958109748588;8.354828582961083e-05
5000;9;200;34;8;8;0.9979227877572324;8.598271284673768e-05
5000;10;140;4;15;1;0.998160887184269;0.00012124669167719266
6000;1;160;36;7;6;0.9979333438894656;7.377181251613368e-05
6000;2;250;96;6;2;0.9979216148536508;6.578724074379081e-05
6000;3;290;48;19;9;0.9979392084073728;4.787401052553458e-05
6000;4;310;56;14;11;0.9979427271181173;6.492421284962026e-05
6000;5;280;4;18;11;0.9981608871842692;8.037599394316126e-05
6000;6;70;36;16;19;0.9980037181043532;7.235969112844331e-05
6000;7;380;78;15;9;0.9979450729252802;6.366176625256587e-05
6000;8;430;14;12;8;0.9979380355037915;4.787401052553241e-05
6000;9;450;12;8;19;0.9979591477682577;5.588242462429958e-05
6000;10;380;36;2;11;0.9979427271181173;5.7268451196007674e-05
7000;1;250;6;12;19;0.998160887184269;0.00013142802022397986
7000;2;190;54;18;2;0.9978946380712774;0.00011474090772316893
7000;3;400;18;20;9;0.9979450729252802;0.00010039122868234717
7000;4;340;6;4;3;0.9981515039556174;0.0001352861789057296
7000;5;180;50;5;8;0.9979309980823027;0.00011061419802460383
7000;6;340;74;4;10;0.9979309980823027;0.00010407825871430165
7000;7;470;26;17;17;0.9979368626002099;8.842790724663274e-05
7000;8;70;28;2;6;0.9979415542145358;9.792164518374913e-05
7000;9;130;2;6;4;0.9946750177401666;0.00012092857762013836
7000;10;420;98;19;8;0.9979403813109544;0.00010584764379087711
8000;1;410;46;3;20;0.9979568019610948;8.7819075153052e-05
8000;2;250;10;13;18;0.9979732226112352;8.479046463133164e-05
8000;3;320;16;9;6;0.997932170985884;0.00010488145536741702
8000;4;80;14;4;7;0.997949764539606;0.00010316218759321537
8000;5;380;98;12;15;0.9979356896966285;8.878500498026299e-05
8000;6;450;76;3;1;0.9979368626002099;0.00010558738363846539
8000;7;200;44;13;18;0.997952110346769;8.534032272946889e-05
8000;8;360;66;6;16;0.9979427271181173;8.927946062378855e-05
8000;9;50;30;15;18;0.9979884703577943;9.42710992917339e-05
8000;10;50;84;17;1;0.9979309980823026;0.00010942630977266663
9000;1;270;44;3;18;0.9979204419500695;9.467882297065066e-05
9000;2;140;56;16;6;0.9979239606608138;8.400806760367086e-05
9000;3;340;48;17;14;0.9979403813109544;8.951029646706605e-05
9000;4;90;10;7;18;0.9979743955148166;8.503348738432142e-05
9000;5;90;28;8;11;0.9979263064679769;6.85521757769664e-05
9000;6;400;54;16;12;0.997932170985884;9.350918173785757e-05
9000;7;500;48;3;11;0.9979274793715582;8.695322105292055e-05
9000;8;280;18;16;19;0.9979368626002099;7.748268883413401e-05
9000;9;400;90;7;18;0.9979392084073728;9.165173957123457e-05
9000;10;390;8;4;15;0.997977914225561;8.137956336880084e-05
10000;1;410;98;11;2;0.9978981567820217;4.52138737308261e-05
10000;2;490;16;2;1;0.9979263064679766;4.7874010525531865e-05
10000;3;210;66;12;6;0.9978958109748588;3.843832487825856e-05
10000;4;110;88;20;13;0.9979286522751396;3.112064875974783e-05
10000;5;50;40;2;19;0.9979298251787212;3.4396284941964115e-05
10000;6;190;4;12;19;0.998160887184269;6.430678542022037e-05
10000;7;420;36;18;17;0.9978946380712774;3.9427708237835424e-05
10000;8;150;92;5;3;0.9979087129142549;5.039392215189207e-05
10000;9;250;4;15;5;0.998160887184269;6.430678542022037e-05
10000;10;80;48;16;14;0.9979403813109544;2.83444957947885e-05
