seed;iter;clf__n_estimators;clf__max_depth;clf__min_samples_split;clf__min_samples_leaf;mean_accuracy;std_accuracy
1000;1;320;86;5;13;0.9327077747989275;0.002191186781951995
1000;2;270;10;16;6;0.9171581769436997;0.004101088080637618
1000;3;390;56;6;8;0.9369436997319035;0.0019436535078168186
1000;4;470;32;13;16;0.929436997319035;0.0025343275706373233
1000;5;170;88;13;8;0.9366219839142091;0.0011196039151646939
1000;6;340;24;3;16;0.929597855227882;0.0019671781584819554
1000;7;140;60;15;7;0.9371045576407507;0.0019002729379806195
1000;8;60;98;19;15;0.9278284182305632;0.0032852490470864372
1000;9;500;100;8;18;0.928739946380697;0.0015851737800637576
1000;10;160;90;5;9;0.934798927613941;0.002113716176346065
2000;1;330;8;17;9;0.889651474530831;0.005701323110357048
2000;2;500;24;20;5;0.9382841823056299;0.005847700628636205
2000;3;300;26;6;18;0.9275067024128687;0.008029658454922983
2000;4;470;80;12;12;0.9337801608579088;0.006690606222976553
2000;5;380;56;2;7;0.9387667560321716;0.005696278137145023
2000;6;50;78;20;15;0.9297050938337803;0.005823066174901153
2000;7;170;10;3;8;0.9151206434316353;0.007023105342641462
2000;8;350;90;5;19;0.9268632707774799;0.007378062846662721
2000;9;190;68;5;10;0.9343699731903486;0.006086204235351315
2000;10;340;54;3;11;0.9341554959785523;0.006261302124180178
3000;1;450;18;11;3;0.9369973190348524;0.004621847064774263
3000;2;220;92;11;5;0.9400000000000001;0.004439082474170333
3000;3;430;88;16;10;0.9353351206434317;0.003930700870372369
3000;4;190;24;19;7;0.9359785522788204;0.004477773639916981
3000;5;500;28;18;11;0.9344235924932975;0.004237621406644334
3000;6;430;80;15;14;0.9314745308310991;0.003946030990450212
3000;7;230;98;19;12;0.9333512064343165;0.0031200721771530503
3000;8;290;30;14;13;0.9322788203753352;0.003887307015633621
3000;9;190;90;12;11;0.9328150134048258;0.0037747379960961086
3000;10;130;18;4;18;0.9254691689008043;0.004624956279431173
4000;1;310;54;16;8;0.9379088471849866;0.0027995233205804996
4000;2;370;94;16;11;0.9345308310991957;0.0031649017830292126
4000;3;290;86;5;12;0.9332975871313673;0.0034224071629454255
4000;4;270;44;3;11;0.9353887399463806;0.0030848578796015924
4000;5;100;16;14;20;0.9215013404825736;0.0038902642674996262
4000;6;470;66;13;6;0.9397855227882037;0.0029102984976111406
4000;7;90;28;14;11;0.9320107238605898;0.0019078227211428882
4000;8;330;100;12;18;0.9286863270777479;0.0029998071272277368
4000;9;480;14;12;3;0.9315281501340482;0.004475204635896061
4000;10;280;36;19;18;0.9286327077747989;0.0028240630739439446
5000;1;190;48;14;15;0.9309383378016086;0.0031338636345742375
5000;2;120;66;14;2;0.9460589812332438;0.0027150646436830354
5000;3;370;44;14;17;0.9287935656836461;0.004254548938311511
5000;4;210;76;4;3;0.9453083109919571;0.0029998071272277563
5000;5;360;98;14;19;0.9273994638069706;0.0034349849604390277
5000;6;60;80;8;10;0.9341554959785523;0.0019451321337498166
5000;7;270;98;15;7;0.9381233243967829;0.0028544411054597855
5000;8;370;98;4;2;0.9484182305630027;0.0020318815358173095
5000;9;200;34;8;8;0.9375871313672922;0.0029680112607180795
5000;10;140;4;15;1;0.8004289544235925;0.0048749353920346135
6000;1;160;36;7;6;0.9403217158176943;0.0017424211055519453
6000;2;250;96;6;2;0.9480428954423592;0.0018987593790483336
6000;3;290;48;19;9;0.9368364611260054;0.002640988816305558
6000;4;310;56;14;11;0.9351206434316353;0.003270337947877097
6000;5;280;4;18;11;0.7958713136729223;0.0034856671234627535
6000;6;70;36;16;19;0.926970509383378;0.004351430255286527
6000;7;380;78;15;9;0.9362466487935658;0.0032939887514011157
6000;8;430;14;12;8;0.9270241286863271;0.003533996150838404
6000;9;450;12;8;19;0.9190348525469169;0.005058434923354725
6000;10;380;36;2;11;0.9350134048257372;0.002328584530896369
7000;1;250;6;12;19;0.8593565683646114;0.006363777779919519
7000;2;190;54;18;2;0.946112600536193;0.003990947788939068
7000;3;400;18;20;9;0.9320643431635389;0.0025126808608814926
7000;4;340;6;4;3;0.8622520107238605;0.006154318856912117
7000;5;180;50;5;8;0.9382841823056302;0.002394328532092872
7000;6;340;74;4;10;0.9355495978552278;0.002726687857392192
7000;7;470;26;17;17;0.9297587131367292;0.00274978689650576
7000;8;70;28;2;6;0.9375871313672922;0.003930700870372376
7000;9;130;2;6;4;0.6569973190348526;0.004945199914281547
7000;10;420;98;19;8;0.9385522788203753;0.0034807147168080567
8000;1;410;46;3;20;0.9280965147453084;0.003223407692265757
8000;2;250;10;13;18;0.9142627345844504;0.0021674405288372896
8000;3;320;16;9;6;0.9314745308310993;0.00305488890793439
8000;4;80;14;4;7;0.9257908847184986;0.004357372579927092
8000;5;380;98;12;15;0.9308847184986595;0.0023822906049890957
8000;6;450;76;3;1;0.9522252010723861;0.0020304660835133016
8000;7;200;44;13;18;0.9279356568364611;0.0035135989116152
8000;8;360;66;6;16;0.930509383378016;0.0025848730923740642
8000;9;50;30;15;18;0.9256836461126005;0.003945302335473913
8000;10;50;84;17;1;0.945254691689008;0.003626346041589452
9000;1;270;44;3;18;0.9282037533512064;0.002783043275573411
9000;2;140;56;16;6;0.9392493297587132;0.0031612660531868627
9000;3;340;48;17;14;0.9313136729222519;0.0028644955258323003
9000;4;90;10;7;18;0.9115281501340483;0.0026431651568613783
9000;5;90;28;8;11;0.9325469168900804;0.002437172799434552
9000;6;400;54;16;12;0.9331903485254692;0.0030492369347159005
9000;7;500;48;3;11;0.9346380697050938;0.0037663505262918733
9000;8;280;18;16;19;0.9237533512064342;0.003410626036201441
9000;9;400;90;7;18;0.9286863270777481;0.003248285518683315
9000;10;390;8;4;15;0.8970509383378016;0.008748330655019001
10000;1;410;98;11;2;0.9478284182305631;0.0016050004876242128
10000;2;490;16;2;1;0.9386595174262735;0.0011170330646648498
10000;3;210;66;12;6;0.9401072386058982;0.0019598570383374896
10000;4;110;88;20;13;0.9315281501340482;0.0006478845026056027
10000;5;50;40;2;19;0.9238069705093833;0.00256813512382372
10000;6;190;4;12;19;0.7908847184986595;0.003972897276749117
10000;7;420;36;18;17;0.9296514745308311;0.000435605276387983
10000;8;150;92;5;3;0.9449329758713138;0.0009067846930449081
10000;9;250;4;15;5;0.7926541554959785;0.0038239247892065064
10000;10;80;48;16;14;0.9288471849865951;0.001067010656414606
