seed;iter;clf__n_estimators;clf__max_depth;clf__min_samples_split;clf__min_samples_leaf;mean_accuracy;std_accuracy
1000;1;320;86;5;13;0.9938865327678643;0.0007550692878025367
1000;2;270;10;16;6;0.9930863407217732;0.0007516695889136204
1000;3;390;56;6;8;0.994622709450268;0.0005530016017658956
1000;4;470;32;13;16;0.9936784828358804;0.0007386080345179986
1000;5;170;88;13;8;0.9944786748819716;0.0006864882960559326
1000;6;340;24;3;16;0.9935184444266623;0.000985244072761244
1000;7;140;60;15;7;0.9946067056093462;0.0006312901631852882
1000;8;60;98;19;15;0.9938065135632552;0.000591492953911379
1000;9;500;100;8;18;0.9934384252220532;0.0006770967688663212
1000;10;160;90;5;9;0.9943826518364407;0.0006547898710243783
2000;1;330;8;17;9;0.9921101064255421;0.0009033314102053242
2000;2;500;24;20;5;0.9947827478594864;0.0008786094090620902
2000;3;300;26;6;18;0.9936304713131152;0.0008386379135199592
2000;4;470;80;12;12;0.9939825558133952;0.0009674053779119824
2000;5;380;56;2;7;0.9945746979275025;0.0009792467658336136
2000;6;50;78;20;15;0.9938065135632552;0.0010873193727430938
2000;7;170;10;3;8;0.9930543330399295;0.0010413570287267234
2000;8;350;90;5;19;0.993646475154037;0.0009663457879139514
2000;9;190;68;5;10;0.9942226134272225;0.001043813642257841
2000;10;340;54;3;11;0.9941585980635352;0.0009123593063128443
3000;1;450;18;11;3;0.9952948707689846;0.0006288511708214213
3000;2;220;92;11;5;0.9948627670640955;0.0006329109364898767
3000;3;430;88;16;10;0.9941425942226134;0.0007323396775960845
3000;4;190;24;19;7;0.9945106825638153;0.0008789008701445564
3000;5;500;28;18;11;0.9939825558133952;0.0008383324544264282
3000;6;430;80;15;14;0.9937745058814116;0.0009647542208914967
3000;7;230;98;19;12;0.9939505481315516;0.0009089843527990886
3000;8;290;30;14;13;0.9938865327678643;0.0008582595936811652
3000;9;190;90;12;11;0.9939825558133952;0.0008815196833749106
3000;10;130;18;4;18;0.9934864367448188;0.0010179751232320964
4000;1;310;54;16;8;0.9944306633592062;0.0008371095034406394
4000;2;370;94;16;11;0.9937905097223332;0.0009075744181008571
4000;3;290;86;5;12;0.9938865327678643;0.0008154110076246613
4000;4;270;44;3;11;0.9938865327678641;0.0009146023565482753
4000;5;100;16;14;20;0.9931983676082259;0.0010309753322177478
4000;6;470;66;13;6;0.9947827478594862;0.0007863082977699238
4000;7;90;28;14;11;0.9939505481315516;0.0008309677513481233
4000;8;330;100;12;18;0.9935184444266623;0.0008113173949355307
4000;9;480;14;12;3;0.9951508362006882;0.000597952842834897
4000;10;280;36;19;18;0.9934064175402095;0.0008059328358495068
5000;1;190;48;14;15;0.9935984636312716;0.0006902091270816113
5000;2;120;66;14;2;0.9955669360646555;0.0004098983267941321
5000;3;370;44;14;17;0.9935504521085061;0.0005849617310553573
5000;4;210;76;4;3;0.9955669360646555;0.0005322329886634046
5000;5;360;98;14;19;0.9932463791309913;0.00045435127043538624
5000;6;60;80;8;10;0.9942226134272225;0.00048647464682950476
5000;7;270;98;15;7;0.9947987517004082;0.0006789854664510497
5000;8;370;98;4;2;0.9963351204289028;0.0004216032606968246
5000;9;200;34;8;8;0.9944306633592062;0.000672542254603535
5000;10;140;4;15;1;0.981835640553733;0.0014314270480914196
6000;1;160;36;7;6;0.9948307593822519;0.0007256643385615556
6000;2;250;96;6;2;0.9962551012242938;0.000674063845359766
6000;3;290;48;19;9;0.9943986556773625;0.0007139219980217798
6000;4;310;56;14;11;0.9940785788589261;0.0008001920460910617
6000;5;280;4;18;11;0.9832759862366969;0.0012519873387602004
6000;6;70;36;16;19;0.9932943906537568;0.000634931085056509
6000;7;380;78;15;9;0.9943346403136752;0.0008213572806501679
6000;8;430;14;12;8;0.9944786748819716;0.0009826410455634942
6000;9;450;12;8;19;0.9922541409938386;0.000754730007044963
6000;10;380;36;2;11;0.994094582699848;0.0008930659472387619
7000;1;250;6;12;19;0.9875330079219011;0.0007631667771507742
7000;2;190;54;18;2;0.9954709130191246;0.00015680497673251567
7000;3;400;18;20;9;0.9943666479955189;0.0005417719734275668
7000;4;340;6;4;3;0.9872929503080738;0.0011207260238464258
7000;5;180;50;5;8;0.9947507401776425;0.0005511458864598716
7000;6;340;74;4;10;0.9942866287909098;0.0007149974523065928
7000;7;470;26;17;17;0.9935024405857404;0.0008368034864304503
7000;8;70;28;2;6;0.9949427862687046;0.0003800701636244645
7000;9;130;2;6;4;0.8726734416259904;0.0038656481852980622
7000;10;420;98;19;8;0.994622709450268;0.0005020208735331132
8000;1;410;46;3;20;0.993470432903897;0.0009298768694140302
8000;2;250;10;13;18;0.9923181563575258;0.0012198664639615536
8000;3;320;16;9;6;0.994798751700408;0.0010723767667600616
8000;4;80;14;4;7;0.9946547171321116;0.0008873115964233781
8000;5;380;98;12;15;0.993742498199568;0.001010145400531931
8000;6;450;76;3;1;0.9965271665199648;0.0005050727002659708
8000;7;200;44;13;18;0.993470432903897;0.0009989268806482967
8000;8;360;66;6;16;0.993822517404177;0.0010388946062009974
8000;9;50;30;15;18;0.993454429062975;0.0009212987414338757
8000;10;50;84;17;1;0.995614947587421;0.0008087879502916651
9000;1;270;44;3;18;0.9935184444266625;0.0003469550034196755
9000;2;140;56;16;6;0.99481475554133;0.0003256299903877378
9000;3;340;48;17;14;0.9938865327678643;0.00034547544442542917
9000;4;90;10;7;18;0.9921421141073858;0.00040927300480259776
9000;5;90;28;8;11;0.9940145634952389;0.0002499879867458356
9000;6;400;54;16;12;0.9939345442906298;0.00035928533761132257
9000;7;500;48;3;11;0.9939665519724734;0.0004067621037733685
9000;8;280;18;16;19;0.9934064175402095;0.0003773650035225171
9000;9;400;90;7;18;0.9935344482675841;0.00043945043507230607
9000;10;390;8;4;15;0.9913579259022166;0.0004234218310097636
10000;1;410;98;11;2;0.9954709130191246;0.000582768391006902
10000;2;490;16;2;1;0.9963511242698248;0.0007866339587065373
10000;3;210;66;12;6;0.9950228054733137;0.0006872340738924251
10000;4;110;88;20;13;0.9939665519724734;0.0008185460096051504
10000;5;50;40;2;19;0.9934224213811316;0.0008653920675103582
10000;6;190;4;12;19;0.983708089941586;0.0008507663509643495
10000;7;420;36;18;17;0.9935824597903498;0.001016464399980817
10000;8;150;92;5;3;0.9955509322237337;0.0006333154817126835
10000;9;250;4;15;5;0.9839801552372569;0.0008444206422836149
10000;10;80;48;16;14;0.9939665519724734;0.0006876066594843872
