seed;mean_accuracy;std_accuracy;fold_1;fold_2;fold_3;fold_4;fold_5
1000;0.951152815013405;0.0016819718114056764;0.9482573726541556;0.9520107238605898;0.9504021447721179;0.953083109919571;0.9520107238605898
2000;0.9515817694369973;0.004513586167449849;0.9525469168900804;0.9498659517426273;0.9597855227882037;0.9490616621983914;0.9466487935656837
3000;0.9506166219839143;0.0035461781799005646;0.9482573726541556;0.953083109919571;0.9517426273458445;0.9549597855227882;0.9450402144772118
4000;0.9510991957104558;0.0009531575782644049;0.9514745308310992;0.9509383378016085;0.9493297587131367;0.9517426273458445;0.9520107238605898
5000;0.9510991957104558;0.002563653209197216;0.9533512064343164;0.9504021447721179;0.9528150134048258;0.9463806970509383;0.9525469168900804
6000;0.9517426273458444;0.001977382189231701;0.9536193029490616;0.9479892761394102;0.9520107238605898;0.9520107238605898;0.953083109919571
7000;0.9514745308310992;0.0049230579865471615;0.9463806970509383;0.9450402144772118;0.9528150134048258;0.9568364611260054;0.9563002680965147
8000;0.9522252010723861;0.0020304660835133016;0.9506702412868633;0.9546916890080429;0.9501340482573727;0.9546916890080429;0.9509383378016085
9000;0.9507238605898124;0.0022068756704832905;0.9506702412868633;0.9509383378016085;0.9525469168900804;0.9528150134048258;0.9466487935656837
10000;0.951260053619303;0.0008545510697323871;0.9501340482573727;0.9522788203753351;0.9514745308310992;0.9520107238605898;0.9504021447721179
